,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Series Publisher,CV Cover Image,CV Issue URL,Days Between Issues
1,Superman,1987,171,Issue,2001-08-31,Comicvine,3816,70875,Superman,1987,171,DC Comics, ,https://comicvine.gamespot.com/superman-171-of-course-you-know-this-meanswarworld/4000-70875/,0 days 00:00:00
2,Green Lantern: Our Worlds at War,2001,1,Issue,2001-08-31,Comicvine,30758,189899,Green Lantern: Our Worlds At War,2001,1,DC Comics, ,https://comicvine.gamespot.com/green-lantern-our-worlds-at-war-1-the-pasts-face-p/4000-189899/,0 days 00:00:00
3,Adventures of Superman,1987,593,Issue,2001-08-31,Comicvine,3778,89250,Adventures of Superman,1987,593,DC Comics, ,https://comicvine.gamespot.com/issue/4000-89250/,0 days 00:00:00
4,Batman: Our Worlds at War,2001,1,Issue,2001-08-31,Comicvine,30756,189888,Batman: Our Worlds at War,2001,1,DC Comics, ,https://comicvine.gamespot.com/batman-our-worlds-at-war-1-hidden-agenda/4000-189888/,0 days 00:00:00
5,Superman: Man of Steel,1991,115,Issue,2001-08-31,Comicvine,4571,70796,Superman: The Man of Steel,1991,115,DC Comics, ,https://comicvine.gamespot.com/issue/4000-70796/,0 days 00:00:00
6,Young Justice: Our Worlds at War,2001,1,Issue,2001-08-31,Comicvine,19122,114252,Young Justice: Our Worlds at War,2001,1,DC Comics, ,https://comicvine.gamespot.com/young-justice-our-worlds-at-war-1-comedy-of-eras/4000-114252/,-23 days +00:00:00
7,Superboy,1994,89,Issue,2001-08-08,Comicvine,5261,53528,Superboy,1994,89,DC Comics, ,https://comicvine.gamespot.com/issue/4000-53528/,23 days 00:00:00
8,Action Comics,1938,780,Issue,2001-08-31,Comicvine,18005,113398,Action Comics,1938,780,DC Comics, ,https://comicvine.gamespot.com/action-comics-780-the-end-of-the-beginning/4000-113398/,-7 days +00:00:00
9,Wonder Woman,1987,171,Issue,2001-08-24,Comicvine,3824,53562,Wonder Woman,1987,171,DC Comics, ,https://comicvine.gamespot.com/wonder-woman-171-bird-of-prey/4000-53562/,7 days 00:00:00
10,Supergirl,1996,59,Issue,2001-08-31,Comicvine,5766,76600,Supergirl,1996,59,DC Comics, ,https://comicvine.gamespot.com/supergirl-59-down-and-out-in-kansas/4000-76600/,0 days 00:00:00
