,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Series Publisher,CV Cover Image,CV Issue URL,Days Between Issues
465,Doom Patrol,1987.0,23,Issue,1989-06-30,Comicvine,3786,31281,Doom Patrol,1987,23,Vertigo, ,https://comicvine.gamespot.com/issue/4000-31281/,31 days 00:00:00
466,Doom Patrol,1987.0,24,Issue,1989-07-31,Comicvine,3786,31391,Doom Patrol,1987,24,Vertigo, ,https://comicvine.gamespot.com/issue/4000-31391/,31 days 00:00:00
467,Doom Patrol,1987.0,25,Issue,1989-08-31,Comicvine,3786,31495,Doom Patrol,1987,25,Vertigo, ,https://comicvine.gamespot.com/issue/4000-31495/,30 days 00:00:00
468,Doom Patrol,1987.0,26,Issue,1989-09-30,Comicvine,3786,31604,Doom Patrol,1987,26,Vertigo, ,https://comicvine.gamespot.com/issue/4000-31604/,61 days 00:00:00
469,Doom Patrol,1987.0,27,Issue,1989-11-30,Comicvine,3786,31825,Doom Patrol,1987,27,Vertigo, ,https://comicvine.gamespot.com/issue/4000-31825/,31 days 00:00:00
470,Doom Patrol,1987.0,28,Issue,1989-12-31,Comicvine,3786,31958,Doom Patrol,1987,28,Vertigo, ,https://comicvine.gamespot.com/issue/4000-31958/,31 days 00:00:00
471,Doom Patrol,1987.0,29,Issue,1990-01-31,Comicvine,3786,32285,Doom Patrol,1987,29,Vertigo, ,https://comicvine.gamespot.com/issue/4000-32285/,-336 days +00:00:00
472,Detective Comics,1937.0,598,Issue,1989-03-01,Comicvine,18058,106871,Detective Comics,1937,598,DC Comics, ,https://comicvine.gamespot.com/issue/4000-106871/,31 days 00:00:00
473,Detective Comics,1937.0,599,Issue,1989-04-01,Comicvine,18058,106872,Detective Comics,1937,599,DC Comics, ,https://comicvine.gamespot.com/issue/4000-106872/,30 days 00:00:00
474,Detective Comics,1937.0,600,Issue,1989-05-01,Comicvine,18058,105900,Detective Comics,1937,600,DC Comics, ,https://comicvine.gamespot.com/issue/4000-105900/,244 days 00:00:00
475,Deadman: Love After Death,1989.0,1,Issue,1989-12-31,Comicvine,4178,32104,Deadman: Love After Death,1989,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32104/,31 days 00:00:00
476,Deadman: Love After Death,1989.0,2,Issue,1990-01-31,Comicvine,4178,32119,Deadman: Love After Death,1989,2,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32119/,-365 days +00:00:00
477,Legend of Aquaman,1989.0,1,Issue,1989-01-31,Comicvine,25772,152058,Aquaman Special,1989,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-152058/,150 days 00:00:00
478,Aquaman,1989.0,1,Issue,1989-06-30,Comicvine,4170,31273,Aquaman,1989,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31273/,31 days 00:00:00
479,Aquaman,1989.0,2,Issue,1989-07-31,Comicvine,4170,31384,Aquaman,1989,2,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31384/,31 days 00:00:00
480,Aquaman,1989.0,3,Issue,1989-08-31,Comicvine,4170,152346,Aquaman,1989,3,DC Comics, ,https://comicvine.gamespot.com/issue/4000-152346/,30 days 00:00:00
481,Aquaman,1989.0,4,Issue,1989-09-30,Comicvine,4170,31598,Aquaman,1989,4,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31598/,31 days 00:00:00
482,Aquaman,1989.0,5,Issue,1989-10-31,Comicvine,4170,31714,Aquaman,1989,5,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31714/,-123 days +00:00:00
483,Secret Origins Special,1989.0,1,Issue,1989-06-30,Comicvine,20004,119456,Secret Origins Special,1989,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-119456/,-122 days +00:00:00
484,Justice League International,1987.0,24,Issue,1989-02-28,Comicvine,3798,30913,Justice League International,1987,24,DC Comics, ,https://comicvine.gamespot.com/issue/4000-30913/,61 days 00:00:00
485,Justice League International,1987.0,25,Issue,1989-04-30,Comicvine,3798,31128,Justice League International,1987,25,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31128/,31 days 00:00:00
486,Justice League America,1989.0,26,Issue,1989-05-31,Comicvine,4198,31179,Justice League America,1989,26,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31179/,30 days 00:00:00
487,Justice League America,1989.0,27,Issue,1989-06-30,Comicvine,4198,31288,Justice League America,1989,27,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31288/,31 days 00:00:00
488,Justice League America,1989.0,28,Issue,1989-07-31,Comicvine,4198,31398,Justice League America,1989,28,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31398/,31 days 00:00:00
489,Justice League America,1989.0,29,Issue,1989-08-31,Comicvine,4198,31505,Justice League America,1989,29,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31505/,30 days 00:00:00
490,Justice League America,1989.0,30,Issue,1989-09-30,Comicvine,4198,31614,Justice League America,1989,30,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31614/,-60 days +00:00:00
491,Hawkworld,1989.0,1,Issue,1989-08-01,Comicvine,4193,31501,Hawkworld,1989,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31501/,31 days 00:00:00
